timestamp,ear,eye_open,total_blinks,blink_rate,cognitive,attention,fatigue,stress
2025-12-31T10:37:52,0.25,1.0,0,0.0,0.0,0.0,0.0,0.0
2025-12-31T10:37:53,0.2429,0.62,0,0.0,30.1,78.4,10.0,27.2
2025-12-31T10:37:54,0.2587,0.725,0,0.0,30.2,81.4,10.0,29.7
2025-12-31T10:37:55,0.2521,0.681,0,0.0,30.2,82.0,10.0,30.5
2025-12-31T10:37:56,0.2281,0.521,0,0.0,30.3,76.1,10.1,29.0
2025-12-31T10:37:57,0.2521,0.681,0,0.0,30.4,78.1,10.0,25.2
2025-12-31T10:37:58,0.2632,0.755,0,0.0,30.4,81.3,10.0,31.4
2025-12-31T10:37:59,0.2591,0.727,0,0.0,30.5,79.0,10.0,26.8
2025-12-31T10:38:00,0.2539,0.693,0,0.0,30.5,78.7,10.0,25.8
2025-12-31T10:38:01,0.2911,0.941,0,0.0,30.6,86.7,10.0,25.0
2025-12-31T10:38:02,0.2482,0.655,0,0.0,30.6,80.2,10.0,25.0
2025-12-31T10:38:03,0.2728,0.819,0,0.0,30.7,84.0,10.0,25.0
2025-12-31T10:38:04,0.2959,0.973,0,0.0,30.8,88.9,10.0,26.2
2025-12-31T10:38:05,0.2369,0.58,0,0.0,30.8,80.8,10.0,29.6
2025-12-31T10:38:06,0.2138,0.425,0,0.0,30.9,74.1,11.2,25.6
2025-12-31T10:38:07,0.2091,0.394,0,0.0,30.9,72.7,12.2,26.1
2025-12-31T10:38:08,0.2262,0.508,1,0.0,31.0,75.3,10.6,25.0
2025-12-31T10:38:09,0.2186,0.458,1,0.0,31.0,73.7,11.6,25.7
2025-12-31T10:38:10,0.2398,0.598,1,0.0,31.1,77.5,10.0,25.0
2025-12-31T10:38:11,0.2078,0.386,1,0.0,31.2,75.9,10.7,28.6
2025-12-31T10:38:13,0.2108,0.405,1,0.0,31.2,70.9,13.6,31.0
2025-12-31T10:38:14,0.1812,0.906,2,20.89,51.3,46.4,10.9,31.3
2025-12-31T10:38:15,0.2098,0.399,2,17.74,51.3,42.4,12.7,28.1
2025-12-31T10:38:16,0.1685,0.842,2,15.41,51.4,56.4,10.0,25.3
2025-12-31T10:38:17,0.2533,0.689,2,13.64,51.4,52.3,10.0,25.9
2025-12-31T10:38:18,0.239,0.593,2,12.23,51.5,53.0,10.0,25.9
2025-12-31T10:38:19,0.2448,0.632,2,11.07,50.2,56.5,10.0,25.4
2025-12-31T10:38:20,0.2491,0.661,2,10.12,48.6,57.7,10.0,25.3
2025-12-31T10:38:21,0.2338,0.558,2,9.3,47.3,60.6,10.0,25.0
2025-12-31T10:38:22,0.2736,0.824,2,8.62,46.2,67.1,10.0,25.0
2025-12-31T10:38:23,0.2779,0.853,2,8.04,45.3,72.9,10.0,28.8
2025-12-31T10:38:24,0.1861,0.931,2,7.52,44.5,63.5,10.8,29.0
2025-12-31T10:38:25,0.2481,0.654,3,10.61,49.7,60.6,10.0,27.4
2025-12-31T10:38:26,0.2591,0.727,3,10.01,48.7,60.7,10.0,25.0
2025-12-31T10:38:27,0.19,0.95,3,9.48,47.9,60.9,10.5,29.3
2025-12-31T10:38:28,0.2038,0.358,4,11.99,52.1,49.1,12.7,30.4
2025-12-31T10:38:29,0.2181,0.454,5,14.26,52.0,47.0,12.7,29.5
2025-12-31T10:38:30,0.2426,0.617,5,13.59,52.2,50.1,10.2,28.1
2025-12-31T10:38:31,0.2526,0.684,5,13.0,52.2,53.1,10.0,26.3
2025-12-31T10:38:32,0.2553,0.702,5,12.45,52.3,53.8,10.3,27.4
2025-12-31T10:38:33,0.26,0.734,5,11.95,52.3,57.8,10.0,25.3
2025-12-31T10:38:34,0.1882,0.941,5,11.48,51.6,55.1,12.5,26.9
2025-12-31T10:38:35,0.2395,0.597,6,13.27,52.5,57.7,10.0,29.9
2025-12-31T10:38:36,0.2365,0.576,6,12.78,52.5,53.2,10.1,28.3
2025-12-31T10:38:37,0.2734,0.822,6,12.34,52.6,60.7,10.0,25.6
2025-12-31T10:38:38,0.2365,0.577,7,13.91,52.6,48.7,10.9,26.1
2025-12-31T10:38:39,0.2406,0.604,7,13.45,52.7,52.0,10.0,25.7
2025-12-31T10:38:40,0.2718,0.812,7,13.03,52.7,57.7,10.0,25.3
2025-12-31T10:38:41,0.2468,0.646,7,12.63,52.8,54.3,10.0,25.6
2025-12-31T10:38:42,0.2369,0.579,7,12.26,52.8,51.6,11.3,26.1
2025-12-31T10:38:43,0.2996,0.997,7,11.91,52.8,64.5,10.0,25.0
2025-12-31T10:38:44,0.3861,1.0,7,11.58,52.3,66.8,10.0,27.4
2025-12-31T10:38:45,0.4182,1.0,7,11.26,51.8,67.4,10.0,27.6
2025-12-31T10:38:46,0.4051,1.0,7,10.96,51.5,67.8,10.0,30.8
2025-12-31T10:38:47,0.335,1.0,7,10.67,51.0,68.6,10.0,32.7
2025-12-31T10:38:48,0.2584,0.723,7,10.4,50.6,66.4,10.0,28.9
2025-12-31T10:38:49,0.2543,0.695,7,10.15,50.5,61.2,10.0,31.6
2025-12-31T10:38:50,0.2543,0.695,7,9.91,50.5,61.2,10.0,31.6
2025-12-31T10:38:51,0.2334,0.556,7,9.67,49.5,56.7,12.7,28.5
2025-12-31T10:38:52,0.2478,0.652,7,9.45,49.2,59.7,10.3,25.0
2025-12-31T10:38:53,0.2597,0.731,7,9.24,48.9,63.6,10.0,25.0
2025-12-31T10:38:54,0.2444,0.629,7,9.04,48.6,60.3,10.4,25.0
2025-12-31T10:38:55,0.253,0.687,7,8.84,48.4,63.9,10.0,25.0
2025-12-31T10:38:56,0.2496,0.664,7,8.66,48.1,64.5,10.0,27.7
2025-12-31T10:38:57,0.242,0.613,7,8.48,47.9,62.4,10.1,25.0
2025-12-31T10:38:58,0.2717,0.812,7,8.31,47.6,66.5,10.0,25.0
2025-12-31T10:38:59,0.2101,0.401,8,9.31,47.7,63.7,12.7,28.2
2025-12-31T10:39:00,0.2399,0.599,8,9.13,49.1,60.0,10.9,31.2
2025-12-31T10:39:01,0.2736,0.824,8,8.95,48.9,67.0,10.0,31.4
2025-12-31T10:39:02,0.2688,0.792,8,8.79,48.7,69.7,10.0,29.5
2025-12-31T10:39:03,0.1856,0.928,8,8.63,48.4,70.6,10.0,30.3
2025-12-31T10:39:04,0.1813,0.907,8,8.47,48.2,68.0,10.0,32.9
2025-12-31T10:39:06,0.2655,0.77,8,8.31,48.0,65.9,10.0,25.0
2025-12-31T10:39:07,0.2723,0.816,8,8.17,47.9,69.6,10.0,27.1
2025-12-31T10:39:08,0.2513,0.675,8,8.03,47.7,63.4,10.5,31.6
2025-12-31T10:39:09,0.2316,0.544,8,7.54,46.9,61.3,12.3,30.4
2025-12-31T10:39:10,0.2416,0.611,9,8.46,48.1,60.4,12.8,31.3
2025-12-31T10:39:11,0.2335,0.557,9,8.31,48.3,58.0,13.5,32.7
2025-12-31T10:39:12,0.2442,0.628,10,9.19,49.8,59.8,11.2,25.7
2025-12-31T10:39:13,0.2626,0.751,10,9.03,49.6,63.8,10.0,25.0
2025-12-31T10:39:14,0.1539,0.769,10,9.67,50.8,59.2,11.8,29.9
2025-12-31T10:39:15,0.2125,0.416,11,10.66,50.7,63.2,12.2,32.5
2025-12-31T10:39:16,0.2479,0.653,11,10.45,52.2,62.5,10.1,28.3
2025-12-31T10:39:17,0.2142,0.428,11,10.25,51.9,52.2,15.1,29.8
2025-12-31T10:39:18,0.2706,0.804,11,10.06,51.6,59.5,11.2,30.9
2025-12-31T10:39:19,0.2563,0.709,11,9.87,51.4,62.6,10.0,29.2
2025-12-31T10:39:20,0.2778,0.852,11,9.69,51.1,69.3,10.0,26.7
2025-12-31T10:39:21,0.2701,0.801,11,9.52,50.9,64.5,10.0,32.1
2025-12-31T10:39:22,0.3143,1.0,11,9.34,50.7,71.3,10.0,28.7
2025-12-31T10:39:23,0.2604,0.736,11,9.18,50.4,64.5,10.0,30.6
2025-12-31T10:39:24,0.2719,0.813,11,9.02,50.2,66.2,10.0,28.3
2025-12-31T10:39:25,0.2934,0.956,11,8.29,49.1,69.9,10.0,30.9
2025-12-31T10:39:26,0.2374,0.583,11,8.14,48.9,60.7,12.6,30.2
2025-12-31T10:39:27,0.231,0.54,11,8.01,48.7,62.1,11.9,26.6
2025-12-31T10:39:28,0.2664,0.776,11,7.09,47.2,69.3,10.0,26.1
2025-12-31T10:39:29,0.2941,0.96,11,6.56,46.4,76.6,10.0,29.4
2025-12-31T10:39:30,0.3062,1.0,11,6.44,46.3,76.9,10.0,28.0
2025-12-31T10:39:31,0.2346,0.564,11,6.33,46.1,68.1,11.0,29.3
2025-12-31T10:39:32,0.2851,0.901,11,6.22,46.0,76.2,10.0,28.0
2025-12-31T10:39:33,0.2523,0.682,11,6.11,45.9,69.7,10.1,25.0
