timestamp,ear,eye_open,total_blinks,blink_rate,cognitive,attention,fatigue,stress
2025-12-31T10:41:44,0.2349,0.566,0,0.0,30.1,77.0,10.0,25.0
2025-12-31T10:41:45,0.2641,0.761,0,0.0,30.1,81.5,10.0,25.0
2025-12-31T10:41:46,0.2466,0.644,0,0.0,30.2,78.3,10.0,31.0
2025-12-31T10:41:47,0.2326,0.55,0,0.0,30.2,75.4,10.3,25.2
2025-12-31T10:41:49,0.259,0.727,0,0.0,30.3,83.1,10.0,25.0
2025-12-31T10:41:50,0.2823,0.882,0,0.0,30.4,87.1,10.0,25.0
2025-12-31T10:41:51,0.2767,0.845,0,0.0,30.4,85.2,10.0,25.0
2025-12-31T10:41:52,0.2586,0.724,0,0.0,30.5,82.5,10.0,25.0
2025-12-31T10:41:53,0.2858,0.905,0,0.0,30.5,87.0,10.0,25.0
2025-12-31T10:41:54,0.2607,0.738,0,0.0,30.6,79.2,10.0,27.2
2025-12-31T10:41:55,0.1822,0.911,0,0.0,30.6,87.2,10.0,25.5
2025-12-31T10:41:56,0.253,0.687,0,0.0,30.7,84.4,10.0,31.1
2025-12-31T10:41:57,0.2674,0.783,0,0.0,30.7,81.9,10.0,33.0
2025-12-31T10:41:58,0.248,0.654,0,0.0,30.8,79.9,10.0,27.4
2025-12-31T10:41:59,0.242,0.614,0,0.0,30.9,77.6,10.0,25.0
2025-12-31T10:42:00,0.2277,0.518,0,0.0,30.9,73.2,11.9,27.6
2025-12-31T10:42:01,0.2464,0.642,0,0.0,31.0,76.5,10.4,25.6
2025-12-31T10:42:02,0.1971,0.985,0,0.0,31.0,79.9,11.8,26.2
2025-12-31T10:42:03,0.2177,0.451,1,0.0,31.1,74.2,11.3,25.3
2025-12-31T10:42:04,0.2207,0.472,1,0.0,31.1,74.0,11.5,25.5
2025-12-31T10:42:05,0.239,0.593,1,0.0,31.2,75.8,10.6,25.3
2025-12-31T10:42:06,0.2168,0.445,2,31.31,43.8,53.4,12.8,31.2
2025-12-31T10:42:07,0.2449,0.633,2,24.82,51.3,49.6,10.0,31.9
2025-12-31T10:42:08,0.2081,0.387,2,20.46,51.4,43.7,12.1,32.6
2025-12-31T10:42:09,0.2646,0.764,2,17.42,51.4,51.9,10.0,25.9
2025-12-31T10:42:10,0.2732,0.821,2,15.19,51.5,55.2,10.0,25.4
2025-12-31T10:42:11,0.2695,0.797,2,13.44,51.5,57.9,10.0,32.1
2025-12-31T10:42:12,0.272,0.814,2,12.06,51.6,60.4,10.0,25.6
2025-12-31T10:42:13,0.2603,0.735,2,10.95,50.1,60.0,10.0,25.0
2025-12-31T10:42:14,0.2387,0.591,2,10.02,48.6,59.3,10.0,25.1
2025-12-31T10:42:15,0.2114,0.409,2,9.24,48.0,57.8,10.5,30.6
2025-12-31T10:42:16,0.2114,0.409,2,8.57,48.0,57.8,10.5,30.6
2025-12-31T10:42:17,0.2114,0.409,2,7.98,48.0,57.8,10.5,30.6
2025-12-31T10:42:18,0.2114,0.409,2,7.48,48.0,57.8,10.5,30.6
2025-12-31T10:42:19,0.2692,0.795,2,7.03,43.8,72.4,10.0,32.9
2025-12-31T10:42:20,0.2358,0.572,2,6.64,43.2,61.1,11.9,28.7
2025-12-31T10:42:21,0.2032,0.355,2,6.28,42.6,57.8,14.6,29.6
2025-12-31T10:42:22,0.252,0.68,2,5.95,42.1,70.1,10.0,25.0
2025-12-31T10:42:23,0.2596,0.731,2,5.67,41.7,70.5,10.0,25.0
2025-12-31T10:42:24,0.2531,0.687,2,5.42,41.3,68.9,10.0,26.4
2025-12-31T10:42:25,0.2811,0.874,2,5.18,41.0,76.3,10.0,26.3
2025-12-31T10:42:26,0.225,0.5,2,4.96,40.7,68.1,10.7,25.6
2025-12-31T10:42:27,0.2418,0.612,2,4.76,40.4,67.8,10.4,25.0
2025-12-31T10:42:28,0.2429,0.619,2,4.58,40.2,69.3,10.0,25.0
2025-12-31T10:42:29,0.2421,0.614,2,4.41,39.9,69.6,10.0,25.0
2025-12-31T10:42:30,0.2176,0.451,2,4.25,39.7,64.6,13.2,25.6
2025-12-31T10:42:31,0.2245,0.497,2,4.1,39.5,67.1,11.8,25.0
